"
Employer

","
Job Location
","
Rank or Title
",Specialty,"
Deadline

","
Date Posted
▽

",Application Status
"
The University of Queensland
","
Australia
: Brisbane, Queensland
","
Researcher 
","
General Linguistics;
Language Documentation;
Sociolinguistics
","
05-Mar-2015
","
15-Feb-2015
","
closed
"
"
University of Saskatchewan
","
Canada
: Saskatoon, Saskatchewan
","
Assistant Professor 
","
Applied Linguistics;
General Linguistics
","
10-Apr-2015
","
11-Feb-2015
","
closed
"
"
Simon Fraser University
","
Canada
: British Columbia
","
Academic Director
","
Applied Linguistics;
English
","
31-Mar-2015
","
11-Feb-2015
","
closed
"
"
Esprit de Corps, Corporation
","
USA
: Virginia
","
Linguist - Analyst
","
Translation;
intelligence analysis, subject matter expertise, counterterrorism
","
30-May-2015 
(Open until filled)
","
11-Feb-2015
","
closed
"
"
Modern Language Association of America
","
USA
: New York
","
Linguistics Indexer
","
General Linguistics
","
01-Jul-2015 
(Open until filled)
","
11-Feb-2015
","
closed
"
"
University of Saskatchewan
","
Canada
: Saskatoon, Saskatchewan
","
Assistant Professor 
","
General Linguistics;
English
","
17-Apr-2015
","
11-Feb-2015
","
closed
"
"
Zürcher Hochschule für Angewandte Wissenschaften
","
Switzerland
: Winterthur
","
Scientific Assistant
","
Applied Linguistics
","
28-Feb-2015 
(Open until filled)
","
09-Feb-2015
","
closed
"
"
University of Hawai‘i at Mānoa
","
USA
: Hawaii
","
Asst/Assoc Professor 
","
Language Documentation
","
01-Mar-2015 
(Open until filled)
","
06-Feb-2015
","
closed
"
"
University of Hawai‘i at Mānoa
","
USA
: Hawaii
","
Associate Professor 
","
Language Documentation
","
01-Mar-2015 
(Open until filled)
","
06-Feb-2015
","
closed
"
"
University of Hawai‘i at Mānoa
","
USA
: Hawaii
","
Assistant Professor 
","
Language Documentation
","
01-Mar-2015 
(Open until filled)
","
06-Feb-2015
","
closed
"
"
Kauz Semantic Technologies
","
Germany
: Duesseldorf
","
Programmer 
Project Manager
","
Computational Linguistics;
Pragmatics;
Semantics;
Syntax; 
German
","
30-Apr-2015 
(Open until filled)
","
06-Feb-2015
","
closed
"
"
Kauz Semantic Technologies
","
Germany
: Duesseldorf
","
Manager 
Project Manager
","
Computational Linguistics;
Pragmatics;
Semantics;
Syntax; 
German
","
30-Apr-2015 
(Open until filled)
","
06-Feb-2015
","
closed
"
"
Gallaudet University
","
USA
: District of Columbia
","
Lecturer 
","
Applied Linguistics;
American Sign Language;
French;
Spanish 
","
04-Aug-2015 
(Open until filled)
","
06-Feb-2015
","
closed
"
"
Kauz Semantic Technologies
","
Germany
: Duesseldorf
","
Researcher 
Project Manager
","
Computational Linguistics;
Pragmatics;
Semantics;
Syntax; 
German
","
30-Apr-2015 
(Open until filled)
","
06-Feb-2015
","
closed
"
"
Ecole Normale Supérieure
","
France
: Paris
","
Post Doc 
","
Phonology;
Psycholinguistics;
Neurolinguistics;
Cognitive Science; 
Language Acquisition
","
23-Feb-2015 
(Open until filled)
","
06-Feb-2015
","
closed
"
"
Lionbridge
","
USA
: California
","
Computational Linguists
","
Computational Linguistics;
Chinese, Mandarin;
Japanese;
Chinese, Yue 
","
31-Mar-2015 
(Open until filled)
","
06-Feb-2015
","
closed
"
"
Acapela Group, Sweden
","
Sweden
: Stockholm
","
Consultant 
Norwegian linguist
","
Computational Linguistics;
Morphology;
Phonetics;
Phonology; 
Syntax;
Norwegian Bokmål
","
31-Mar-2015
","
06-Feb-2015
","
closed
"
"
Western Michigan University
","
USA
: Michigan
","
Assistant Professor 
","
Applied Linguistics;
General Linguistics;
Spanish
","
01-Jul-2015 
(Open until filled)
","
05-Feb-2015
","
closed
"
"
Leiden University
","
Netherlands
: Leiden
","
Post Doc 
","
Phonology;
Syntax
","
28-Feb-2015
","
05-Feb-2015
","
closed
"
"
iSoftstone
","
USA
: Washington
","
Linguist Specialist
","
Computational Linguistics;
Translation
","
28-Feb-2015 
(Open until filled)
","
03-Feb-2015
","
closed
"
"
iSoftstone
","
USA
: Washington
","
Consultant 
Linguist Specialist
","
Computational Linguistics;
Translation
","
28-Feb-2015 
(Open until filled)
","
03-Feb-2015
","
closed
"
"
iSoftstone
","
USA
: Washington
","
Manager 
Linguist Specialist
","
Computational Linguistics;
Translation
","
28-Feb-2015 
(Open until filled)
","
03-Feb-2015
","
closed
"
"
Northern Arizona University
","
USA
: Arizona
","
Lecturer 
","
Applied Linguistics;
English
","
22-Feb-2015 
(Open until filled)
","
03-Feb-2015
","
closed
"
"
University of Puerto Rico at Rio Piedras
","
Puerto Rico
: San Juan
","
Assistant Professor 
","
Applied Linguistics;
German
","
01-Feb-2015 
(Open until filled)
","
30-Jan-2015
","
closed
"
"
Idaho State University
","
USA
: Idaho
","
Lecturer 
","
Applied Linguistics;
English
","
27-Mar-2015
","
30-Jan-2015
","
closed
"
"
Rochester Institute of Technology
","
USA
: New York
","
Instructor 
","
Applied Linguistics;
American Sign Language;
English
","
31-Dec-2015 
(Open until filled)
","
30-Jan-2015
","
closed
"
"
Macquarie University
","
Australia
: Sydney, New South Wales
","
Lecturer 
","
General Linguistics
","
01-Mar-2015
","
30-Jan-2015
","
closed
"
"
German Research Center for Artificial Intelligence (DFKI)
","
Germany
: Saarland
","
Scientist 
Science and Research Manager
","
Computational Linguistics
","
15-Feb-2015 
(Open until filled)
","
28-Jan-2015
","
closed
"
"
German Research Center for Artificial Intelligence (DFKI)
","
Germany
: Saarland
","
Manager 
Science and Research Manager
","
Computational Linguistics
","
15-Feb-2015 
(Open until filled)
","
28-Jan-2015
","
closed
"
"
Australian National University
","
Australia
: Canberra
","
Assistant Professor 
","
Applied Linguistics
","
22-Feb-2015
","
28-Jan-2015
","
closed
"
"
HITS gGmbH
","
Germany
: Heidelberg
","
Post Doc 
","
Computational Linguistics
","
20-Feb-2015 
(Open until filled)
","
28-Jan-2015
","
closed
"
"
Adecco UK
","
United Kingdom
: London
","
Language Engineer
","
Computational Linguistics;
Tagalog;
Pilipino
","
22-Jan-2016 
(Open until filled)
","
24-Jan-2015
","
closed
"
"
Université libre de Bruxelles
","
Belgium
: Brussels
","
Post Doc 
","
Pragmatics;
Psycholinguistics;
Cognitive Science;
French 
","
30-Jun-2015 
(Open until filled)
","
24-Jan-2015
","
closed
"
"
Central Intelligence Agency
","
USA
: District of Columbia
","
Translator 
","
Translation;
Arabic, Standard;
Chinese, Mandarin;
Korean; 
Persian, Iranian;
Dari;
Russian;
Somali; 
Pashto
","
23-Feb-2015
","
24-Jan-2015
","
closed
"
"
Adecco UK
","
United Kingdom
: London
","
Speech Data Evaluator
","
Computational Linguistics;
Phonetics;
Phonology;
English; 
Slovak
","
22-Jan-2016 
(Open until filled)
","
24-Jan-2015
","
closed
"
"
Adecco UK
","
United Kingdom
: London
","
Language Engineer
","
Computational Linguistics;
Tagalog;
Pilipino
","
22-Jan-2016 
(Open until filled)
","
24-Jan-2015
","
closed
"
"
Adecco UK
","
United Kingdom
: London
","
Manager 
Speech Linguistic Project Manager
","
Computational Linguistics;
Phonetics;
Phonology;
English 
","
22-Jan-2016 
(Open until filled)
","
24-Jan-2015
","
closed
"
"
Adecco UK
","
United Kingdom
: London
","
Manager 
Speech Linguistic Project Manager
","
Computational Linguistics;
Phonetics;
Phonology;
English 
","
22-Jan-2016 
(Open until filled)
","
24-Jan-2015
","
closed
"
"
Nanyang Technological University, Singapore
","
Singapore
: Singapore
","
Assistant Professor 
","
Phonetics
","
31-Mar-2015
","
24-Jan-2015
","
closed
"
"
Northwestern University
","
USA
: Illinois
","
Post Doc 
","
Phonetics;
Psycholinguistics
","
30-Mar-2015
","
24-Jan-2015
","
closed
"
"
Adecco UK
","
United Kingdom
: London
","
Speech Data Evaluator
","
Computational Linguistics;
Phonetics;
Phonology;
English; 
Finnish;
Greek, Modern
","
22-Feb-2015
","
24-Jan-2015
","
closed
"
"
Truman State University
","
USA
: Missouri
","
Assistant Professor 
","
Applied Linguistics;
English
","
06-Mar-2015 
(Open until filled)
","
23-Jan-2015
","
closed
"
"
Lionbridge
","
United Kingdom
: London
","
Manager 
Linguistic Project Manager
","
Computational Linguistics;
Phonetics;
Phonology;
Finnish; 
Greek, Modern;
Slovak
","
18-Feb-2015
","
23-Jan-2015
","
closed
"
"
University of Tuebingen
","
Germany
: Tuebingen
","
Researcher 
","
Computational Linguistics;
Semantics
","
27-Feb-2015
","
23-Jan-2015
","
closed
"
"
University of Tuebingen
","
Germany
: Tuebingen
","
Post Doc 
","
Computational Linguistics;
Semantics
","
27-Feb-2015
","
23-Jan-2015
","
closed
"
"
AECOM
","
Jordan
","
Translator 
","
Translation;
Dari;
Arabic
","
21-Feb-2015 
(Open until filled)
","
23-Jan-2015
","
closed
"
"
University of Arizona
","
USA
: Arizona
","
Full Professor 
","
Applied Linguistics;
Spanish
","
21-Apr-2015 
(Open until filled)
","
23-Jan-2015
","
closed
"
"
University of Arizona
","
USA
: Arizona
","
Associate Professor 
","
Applied Linguistics;
Spanish
","
21-Apr-2015 
(Open until filled)
","
23-Jan-2015
","
closed
"
"
University of Arizona
","
USA
: Arizona
","
Assistant Professor 
","
Applied Linguistics;
Spanish
","
21-Apr-2015 
(Open until filled)
","
23-Jan-2015
","
closed
"
"
University of South Florida - Tampa, FL
","
USA
: Florida
","
Instructor 
","
Applied Linguistics;
Japanese
","
20-Mar-2015
","
23-Jan-2015
","
closed
"
"
University of Petra
","
Jordan
: Amman
","
Asst/Assoc Professor 
","
General Linguistics
","
15-May-2015 
(Open until filled)
","
21-Jan-2015
","
closed
"
"
University of Petra
","
Jordan
: Amman
","
Assistant Professor 
","
General Linguistics
","
15-May-2015 
(Open until filled)
","
21-Jan-2015
","
closed
"
"
University of Petra
","
Jordan
: Amman
","
Associate Professor 
","
General Linguistics
","
15-May-2015 
(Open until filled)
","
21-Jan-2015
","
closed
"
"
University of Fribourg
","
Switzerland
: Fribourg
","
50% Oberassistenz im Studienprogramm DaF/DaZ
","
Applied Linguistics;
German
","
16-Mar-2015 
(Open until filled)
","
21-Jan-2015
","
closed
"
"
Leapforce, Inc.
","
Indonesia
: Jakarta
","
Search Engine Evaluator
","
General Linguistics;
English;
Indonesian
","
28-Feb-2015 
(Open until filled)
","
21-Jan-2015
","
closed
"
"
NYU Abu Dhabi Neuroscience of Language Lab
","
United Arab Emirates
: Abu Dhabi
","
Post Doc 
","
Neurolinguistics
","
31-May-2015 
(Open until filled)
","
18-Jan-2015
","
closed
"
"
University of York, York, UK
","
United Kingdom
: York
","
Post Doc 
","
Phonetics;
Forensic Linguistics
","
06-Feb-2015
","
18-Jan-2015
","
closed
"
"
Lionbridge
","
----------------
","
Linguistic Expert
","
Computational Linguistics;
General Linguistics;
Danish;
Norwegian Bokmål; 
Swedish
","
28-Feb-2015
","
18-Jan-2015
","
closed
"
"
Appen, LLC
","
----------------
","
Consultant 
Theoretical Linguist
","
Semantics;
Syntax;
Arabic, Standard;
Czech; 
Danish;
Dutch;
Finnish;
Norwegian Nynorsk; 
Norwegian Bokmål;
Polish;
Swedish;
Thai; 
Turkish;
Ukrainian;
Vietnamese
","
01-Oct-2015 
(Open until filled)
","
18-Jan-2015
","
closed
"
"
University of California, Riverside
","
USA
: California
","
Assistant Professor 
","
General Linguistics;
Ling & Literature
","
31-May-2015 
(Open until filled)
","
18-Jan-2015
","
closed
"
"
North Orange County Community College District
","
USA
: California
","
Instructor 
","
Applied Linguistics;
German
","
11-Mar-2015
","
18-Jan-2015
","
closed
"
"
Middlebury Institute of International Studies at Monterey
","
USA
: California
","
Instructor 
","
Applied Linguistics;
Arabic, Standard;
Chinese, Mandarin;
French; 
Russian;
Spanish
","
31-Dec-2015 
(Open until filled)
","
18-Jan-2015
","
closed
"
"
University of York, York, UK
","
United Kingdom
: York
","
Researcher 
","
Phonetics;
Forensic Linguistics
","
06-Feb-2015
","
18-Jan-2015
","
closed
"
"
NYU/NYU Abu Dhabi Neuroscience of Language Lab
","
USA
: New York
","
Research Assistant
","
Neurolinguistics
","
31-May-2015 
(Open until filled)
","
18-Jan-2015
","
closed
"
"
Voxygen
","
France
: Rennes
","
Researcher 
Linguist
","
Computational Linguistics;
General Linguistics;
Dutch;
Portuguese 
","
31-Mar-2015 
(Open until filled)
","
18-Jan-2015
","
closed
"
"
Lionbridge
","
USA
: California
","
Linguistic Expert
","
Computational Linguistics;
General Linguistics;
Dutch;
German; 
Italian;
Spanish;
Swedish
","
16-Feb-2015
","
16-Jan-2015
","
closed
"
"
Lionbridge
","
United Kingdom
: London
","
Linguistic Expert/Speech Analyst
","
Computational Linguistics;
General Linguistics;
Phonetics;
Finnish; 
Greek, Modern;
Slovak
","
28-Feb-2015
","
16-Jan-2015
","
closed
"
"
Amazon.com / IVONA Software
","
United Kingdom
: Cambridge
","
Mandarin Chinese Linguist
","
Phonetics;
Phonology;
Chinese, Mandarin
","
31-May-2015 
(Open until filled)
","
15-Jan-2015
","
closed
"
"
Ivona Software / Amazon.com
","
Poland
: Gdansk (Poland) (preferred) or Cambridge (UK)
","
Scientist 
","
Phonetics;
Phonology;
Japanese
","
31-May-2015 
(Open until filled)
","
15-Jan-2015
","
closed
"
"
Goethe University, Frankfurt, Germany
","
Germany
: Frankfurt am Main
","
Post Doc 
","
General Linguistics
","
28-Feb-2015
","
14-Jan-2015
","
closed
"
"
University of Puerto Rico at Mayaguez
","
Puerto Rico
: Mayaguez
","
Assistant Professor 
","
Phonetics;
Psycholinguistics;
Neurolinguistics;
Language Acquisition; 
Spanish
","
16-Feb-2015 
(Open until filled)
","
14-Jan-2015
","
closed
"
"
Universitat Pompeu Fabra
","
Spain
: Barcelona
","
Lecturer 
","
Applied Linguistics;
German
","
19-Feb-2015
","
13-Jan-2015
","
closed
"
"
Michigan State University
","
USA
: Michigan
","
Chair of Department 
","
General Linguistics
","
12-Jul-2015
","
13-Jan-2015
","
closed
"
"
University of Gothenburg
","
Sweden
: Gothenburg
","
Post Doc 
Post Doctoral Researcher
","
Computational Linguistics
","
17-Feb-2015
","
13-Jan-2015
","
closed
"
"
University of Gothenburg
","
Sweden
: Gothenburg
","
Lecturer 
Senior Lecturer
","
Computational Linguistics
","
17-Feb-2015
","
13-Jan-2015
","
closed
"
"
University of Cologne
","
Germany
: Cologne
","
Full Professor 
","
Computational Linguistics;
Text/Corpus Linguistics
","
18-Feb-2015
","
13-Jan-2015
","
closed
"
"
Georgia Southern University
","
USA
: Georgia
","
Assistant Professor 
","
Applied Linguistics
","
09-Feb-2015
","
13-Jan-2015
","
closed
"
"
EF Education
","
China
: Shanghai
","
Manager 
","
Applied Linguistics
","
30-Apr-2015 
(Open until filled)
","
13-Jan-2015
","
closed
"
"
University of Tromsø
","
Norway
: Tromsø
","
Assistant Professor 
","
Applied Linguistics;
General Linguistics;
Finnish;
Finnish, Kven 
","
29-Jan-2015
","
09-Jan-2015
","
closed
"
"
The University of Michigan-Flint
","
USA
: Michigan
","
Asst/Assoc Professor 
","
Applied Linguistics;
General Linguistics;
French;
Spanish 
","
12-Jun-2015 
(Open until filled)
","
09-Jan-2015
","
closed
"
"
North Orange County Community College District
","
USA
: California
","
Instructor 
","
Applied Linguistics;
French
","
11-Mar-2015
","
09-Jan-2015
","
closed
"
"
University of Chicago
","
USA
: Illinois
","
Managing Director, ESL
","
Applied Linguistics;
Language Acquisition
","
06-Jul-2015
","
07-Jan-2015
","
closed
"
"
Google
","
USA
: California
","
Linguistic Data Evaluator
","
Semantics;
Syntax;
English
","
","
07-Jan-2015
","
"
"
School of Education, Boston University
","
USA
: Massachusetts
","
Associate Professor 
Clinical Associate Professor
","
Applied Linguistics;
Language Acquisition
","
28-Mar-2015 
(Open until filled)
","
07-Jan-2015
","
closed
"
"
Queensborough Community College
","
USA
: New York
","
Assistant Professor 
","
Applied Linguistics
","
08-Feb-2015
","
07-Jan-2015
","
closed
"
"
University of Chicago
","
USA
: Illinois
","
Manager 
Managing Director, ESL
","
Applied Linguistics;
Language Acquisition
","
06-Jul-2015
","
07-Jan-2015
","
closed
"
"
Vital Text Systems
","
USA
: Maine
","
Researcher 
Sr. Computational Linguistics Programmer
","
Computational Linguistics
","
25-Jun-2015
","
06-Jan-2015
","
closed
"
"
Queen's University
","
Canada
: Kingston, Ontario
","
Assistant Professor 
","
Morphology;
Syntax
","
02-Feb-2015
","
06-Jan-2015
","
closed
"
"
Vital Text Systems
","
USA
: Maine
","
Programmer 
Sr. Computational Linguistics Programmer
","
Computational Linguistics
","
25-Jun-2015
","
06-Jan-2015
","
closed
"
"
Vital Text Systems
","
USA
: Maine
","
Manager 
Sr. Computational Linguistics Programmer
","
Computational Linguistics
","
25-Jun-2015
","
06-Jan-2015
","
closed
"
"
Vital Text Systems
","
USA
: Maine
","
Rank Open 
Sr. Computational Linguistics Programmer
","
Computational Linguistics
","
25-Jun-2015
","
06-Jan-2015
","
closed
"
"
CUNY Graduate Center
","
----------------
","
Associate Professor 
","
Semantics;
Syntax
","
30-Jun-2015 
(Open until filled)
","
03-Jan-2015
","
closed
"
"
CUNY Graduate Center
","
----------------
","
Assistant Professor 
","
Semantics;
Syntax
","
30-Jun-2015 
(Open until filled)
","
03-Jan-2015
","
closed
"
"
CUNY Graduate Center
","
----------------
","
Asst/Assoc Professor 
","
Semantics;
Syntax
","
30-Jun-2015 
(Open until filled)
","
03-Jan-2015
","
closed
"
"
Victor Valley College
","
USA
: California
","
Associate Faculty
","
Applied Linguistics;
Spanish
","
01-Jan-2016 
(Open until filled)
","
01-Jan-2015
","
closed
"
"
Victor Valley College
","
USA
: California
","
Associate Faculty
","
Applied Linguistics;
French
","
01-Aug-2015 
(Open until filled)
","
01-Jan-2015
","
closed
"
"
Contra Costa Community College District
","
USA
: California
","
Assistant Professor 
","
Applied Linguistics;
General Linguistics;
Japanese
","
25-Feb-2015
","
30-Dec-2014
","
closed
"
"
SOAS, University of London
","
United Kingdom
: London
","
Lecturer 
","
General Linguistics;
Pragmatics;
Semantics
","
30-Jan-2015
","
30-Dec-2014
","
closed
"
"
Google, Inc.
","
USA
: Select State
","
Analytic Linguistic Project Manager
","
Computational Linguistics;
Arabic, Egyptian
","
22-Jun-2015 
(Open until filled)
","
30-Dec-2014
","
closed
"
"
City University of Hong Kong
","
Hong Kong
","
Professor 
","
Applied Linguistics;
English
","
30-Apr-2015 
(Open until filled)
","
30-Dec-2014
","
closed
"
"
City University of Hong Kong
","
Hong Kong
","
Associate Professor 
","
Applied Linguistics;
English
","
30-Apr-2015 
(Open until filled)
","
30-Dec-2014
","
closed
"
"
University of Alberta
","
Canada
: Edmonton, Alberta
","
Post Doc 
","
Computational Linguistics;
Language Documentation
","
26-Jan-2015 
(Open until filled)
","
30-Dec-2014
","
closed
"
"
Google, Inc.
","
USA
: New York
","
Junior Linguist
","
Computational Linguistics;
General Linguistics;
Arabic, Egyptian
","
22-Jun-2015 
(Open until filled)
","
30-Dec-2014
","
closed
"
"
Institut für Deutsche Sprache and University of Heidelberg
","
Germany
: Mannheim
","
","
Computational Linguistics;
General Linguistics;
Language Documentation;
Text/Corpus Linguistics; 
German
","
31-Jan-2015 
(Open until filled)
","
30-Dec-2014
","
closed
"
"
Institut für Deutsche Sprache and University of Heidelberg
","
Germany
: Mannheim
","
Manager 
","
Computational Linguistics;
General Linguistics;
Language Documentation;
Text/Corpus Linguistics; 
German
","
31-Jan-2015 
(Open until filled)
","
30-Dec-2014
","
closed
"
"
Institut für Deutsche Sprache and University of Heidelberg
","
Germany
: Mannheim
","
Post Doc 
","
Computational Linguistics;
General Linguistics;
Language Documentation;
Text/Corpus Linguistics; 
German
","
31-Jan-2015 
(Open until filled)
","
30-Dec-2014
","
closed
"
"
Institut für Deutsche Sprache Mannheim and University of Heidelberg
","
Germany
: Mannheim or Heidelberg
","
Researcher 
","
Computational Linguistics;
General Linguistics;
Language Documentation;
Text/Corpus Linguistics; 
German
","
31-Jan-2015 
(Open until filled)
","
30-Dec-2014
","
closed
"
"
Institut für Deutsche Sprache Mannheim and University of Heidelberg
","
Germany
: Mannheim or Heidelberg
","
Post Doc 
","
Computational Linguistics;
General Linguistics;
Language Documentation;
Text/Corpus Linguistics; 
German
","
31-Jan-2015 
(Open until filled)
","
30-Dec-2014
","
closed
"
"
Contra Costa Community College District
","
USA
: California
","
Assistant Professor 
","
Applied Linguistics;
English
","
06-Mar-2015
","
30-Dec-2014
","
closed
"
"
University of Potsdam
","
Germany
: Potsdam
","
Post Doc 
","
Computational Linguistics
","
31-Jan-2015 
(Open until filled)
","
20-Dec-2014
","
closed
"
"
Leiden University
","
Netherlands
: Leiden
","
Lecturer 
","
Applied Linguistics;
Turkish
","
02-Feb-2015
","
20-Dec-2014
","
closed
"
"
Indiana University
","
USA
: Indiana
","
Assistant Professor 
","
Applied Linguistics;
General Linguistics;
Japanese
","
30-Jun-2015 
(Open until filled)
","
20-Dec-2014
","
closed
"
"
Uppsala University
","
Sweden
: Uppsala
","
Teacher 
Associate Senior Lecturer
","
General Linguistics
","
08-Feb-2015
","
18-Dec-2014
","
closed
"
"
University of Tübingen
","
Germany
: Tübingen
","
Instructor 
","
Applied Linguistics;
Portuguese
","
15-Jan-2015
","
18-Dec-2014
","
closed
"
"
Lionbridge
","
----------------
","
Linguists
","
Phonetics;
Phonology;
Bengali;
Khmer, Central; 
Nepali;
Lao;
Sinhalese
","
28-Feb-2015
","
18-Dec-2014
","
closed
"
"
Uppsala University
","
Sweden
: Uppsala
","
Senior Lecturer 
Associate Senior Lecturer
","
General Linguistics
","
08-Feb-2015
","
18-Dec-2014
","
closed
"
"
VL247
","
USA
: Select State
","
Instructor 
","
Applied Linguistics;
French;
German;
Hiligaynon; 
Japanese;
Korean;
Khmer, Central;
Norwegian Bokmål; 
Spanish;
Swahili;
Zulu
","
17-Jun-2015 
(Open until filled)
","
18-Dec-2014
","
closed
"
"
VL247
","
USA
: Select State
","
Teacher 
","
Applied Linguistics;
French;
German;
Hiligaynon; 
Japanese;
Korean;
Khmer, Central;
Norwegian Bokmål; 
Spanish;
Swahili;
Zulu
","
17-Jun-2015 
(Open until filled)
","
18-Dec-2014
","
closed
"
"
Appen
","
USA
: California
","
Consultant 
Linguist
","
General Linguistics;
German;
Portuguese;
Spanish 
","
02-Mar-2015
","
18-Dec-2014
","
closed
"
"
University of Tübingen
","
Germany
: Tübingen
","
Lecturer 
","
Applied Linguistics;
Portuguese
","
15-Jan-2015
","
18-Dec-2014
","
closed
"
"
University of Melbourne
","
Australia
: Melbourne
","
Post Doc 
Postdoctoral Fellow
","
Language Documentation;
Text/Corpus Linguistics;
Language Acquisition
","
26-Jan-2015
","
17-Dec-2014
","
closed
"
"
Adecco Ltd. (Japan)
","
Japan
: Tokyo
","
Junior Linguist
","
Computational Linguistics;
General Linguistics;
Japanese
","
30-Jun-2015 
(Open until filled)
","
16-Dec-2014
","
closed
"
"
Lionbridge
","
USA
: California
","
Computational Linguist
","
Computational Linguistics;
Norwegian Bokmål;
Spanish;
Swedish 
","
31-Jan-2015
","
15-Dec-2014
","
closed
"
"
HITS gGmbH
","
Germany
: Darmstadt and/or Heidelberg
","
Researcher 
","
Computational Linguistics;
German
","
12-Jan-2015
","
15-Dec-2014
","
closed
"
"
University of Vienna
","
Austria
: Vienna
","
Post Doc 
","
Syntax
","
31-Jan-2015
","
15-Dec-2014
","
closed
"
"
Amazon.com / IVONA Software
","
United Kingdom
: Cambridge
","
Computational linguist
","
Computational Linguistics;
Phonetics;
Phonology;
English 
","
31-May-2015 
(Open until filled)
","
13-Dec-2014
","
closed
"
"
Lionbridge
","
USA
: California
","
Computational Linguists
","
Computational Linguistics;
French;
Norwegian Bokmål;
Portuguese; 
Spanish;
Swedish
","
(Open until filled)
","
13-Dec-2014
","
closed
"
"
Lionbridge
","
Poland
: Gdansk
","
Phonetician
","
Computational Linguistics;
Phonetics;
Phonology;
Japanese 
","
23-Jan-2015
","
13-Dec-2014
","
closed
"
"
Amazon.com / Ivona Software
","
Poland
: Gdansk/Danzig
","
German linguist
","
Computational Linguistics;
Phonetics;
Phonology;
German 
","
31-May-2015 
(Open until filled)
","
13-Dec-2014
","
closed
"
"
Swarthmore College
","
USA
: Pennsylvania
","
Visiting Professor 
","
General Linguistics
","
02-Feb-2015
","
11-Dec-2014
","
closed
"
"
Lionbridge
","
----------------
","
Computational Linguist
","
Computational Linguistics;
Phonetics;
Phonology;
Russian 
","
17-Jan-2015
","
11-Dec-2014
","
closed
"
"
Swarthmore College
","
USA
: Pennsylvania
","
Assistant Professor 
","
General Linguistics
","
02-Feb-2015
","
11-Dec-2014
","
closed
"
"
University of Liverpool
","
United Kingdom
: Liverpool
","
Lecturer 
","
Applied Linguistics;
General Linguistics;
English
","
02-Jan-2015
","
09-Dec-2014
","
closed
"
"
American University of Armenia
","
Armenia
: Yerevan
","
Asst/Assoc Professor 
","
Applied Linguistics;
English
","
31-May-2015 
(Open until filled)
","
09-Dec-2014
","
closed
"
"
Queen's University
","
Canada
: Kingston, Ontario
","
Assistant Professor 
","
General Linguistics;
Phonetics;
Phonology
","
02-Feb-2015
","
09-Dec-2014
","
closed
"
"
University of Illinois at Urbana-Champaign
","
USA
: Illinois
","
Lecturer 
","
Applied Linguistics;
Turkish
","
02-Feb-2015
","
09-Dec-2014
","
closed
"
"
Central Intelligence Agency
","
USA
: District of Columbia
","
Translator 
","
Translation;
Arabic, Standard;
Chinese, Mandarin;
Korean; 
Persian, Iranian;
Dari;
Russian;
Somali; 
Pashto
","
08-Jan-2015 
(Open until filled)
","
09-Dec-2014
","
closed
"
"
Ivona Software (Amazon.com)
","
Poland
: Gdansk
","
","
Phonetics;
Phonology;
Japanese
","
31-Dec-2014 
(Open until filled)
","
08-Dec-2014
","
closed
"
"
University of Oklahoma
","
USA
: Oklahoma
","
Assistant Professor 
5-Year Renewable Term Position
","
Applied Linguistics;
Italian;
Spanish
","
02-Jan-2015 
(Open until filled)
","
07-Dec-2014
","
closed
"
"
German Research Center for Artificial Intelligence (DFKI)
","
Germany
: Berlin
","
Software Engineer
","
Computational Linguistics
","
31-Jan-2015
","
06-Dec-2014
","
closed
"
"
Georg-August-Universität Göttingen
","
Germany
: Göttingen, Lower Saxony
","
Full Professor 
","
Pragmatics;
Semantics
","
09-Jan-2015
","
06-Dec-2014
","
closed
"
"
West Chester University of Pennsylvania
","
USA
: Pennsylvania
","
Assistant Professor 
","
Applied Linguistics;
English
","
30-Apr-2015 
(Open until filled)
","
06-Dec-2014
","
closed
"
"
University of Illinois at Urbana-Champaign
","
USA
: Illinois
","
Instructor 
","
Applied Linguistics;
Swahili
","
02-Feb-2015
","
05-Dec-2014
","
closed
"
"
University of Illinois at Urbana-Champaign
","
USA
: Illinois
","
Lecturer 
","
Applied Linguistics;
Swahili
","
02-Feb-2015
","
05-Dec-2014
","
closed
"
"
Donders Institute Radboud University and Max Planck Institute for Psycholinguistics
","
Netherlands
: Nijmegen
","
Researcher 
","
Neurolinguistics
","
31-Jan-2015
","
04-Dec-2014
","
closed
"
"
Indiana University - Bloomington
","
USA
: Indiana
","
Lecturer 
","
Applied Linguistics;
Hebrew
","
20-Jan-2015 
(Open until filled)
","
03-Dec-2014
","
closed
"
"
German Research Center for Artificial Intelligence (DFKI)
","
Germany
: Berlin
","
Researcher 
","
Computational Linguistics
","
16-Jan-2015
","
03-Dec-2014
","
closed
"
"
Ntent
","
USA
: California
","
Russian Knowledge Worker / Search Quality Engineer
","
Computational Linguistics;
Russian
","
30-Jun-2015 
(Open until filled)
","
03-Dec-2014
","
closed
"
"
Saint Michael's College
","
USA
: Vermont
","
Assistant Professor 
","
Applied Linguistics
","
02-Jun-2015 
(Open until filled)
","
03-Dec-2014
","
closed
"
